Filename,Source,Type,FOV,Name
dataScaleSize_slide1_FOV2.csv,BIDMC_Tonsil,dataScaleSize,FOV2,BIDMC_Tonsil_1
dataScaleSize_slide2_FOV2.csv,BIDMC_Tonsil,dataScaleSize,FOV2,BIDMC_Tonsil_2
dataScaleSize_slide3_FOV2.csv,BIDMC_Tonsil,dataScaleSize,FOV2,BIDMC_Tonsil_3
dataScaleSize_slide4_FOV2.csv,BIDMC_Tonsil,dataScaleSize,FOV2,BIDMC_Tonsil_4
dataScaleSize_slide1_FOV1.csv,BIDMC_DLBCL,dataScaleSize,FOV1,BIDMC_DLBCL_1
dataScaleSize_slide2_FOV1.csv,BIDMC_DLBCL,dataScaleSize,FOV1,BIDMC_DLBCL_2
dataScaleSize_slide3_FOV1.csv,BIDMC_DLBCL,dataScaleSize,FOV1,BIDMC_DLBCL_3
dataScaleSize_slide24_FOV1.csv,BIDMC_DLBCL,dataScaleSize,FOV1,BIDMC_DLBCL_24
dataScaleSize_slide1_FOV2.csv,BIDMC_DLBCL,dataScaleSize,FOV2,BIDMC_DLBCL_1
dataScaleSize_slide2_FOV2.csv,BIDMC_DLBCL,dataScaleSize,FOV2,BIDMC_DLBCL_2
dataScaleSize_slide3_FOV2.csv,BIDMC_DLBCL,dataScaleSize,FOV2,BIDMC_DLBCL_3
dataScaleSize_slide24_FOV2.csv,BIDMC_DLBCL,dataScaleSize,FOV2,BIDMC_DLBCL_24
dataScaleSize_slide1_IMC_tonsil_FOV1.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV1,Stanford_Tonsil_1
dataScaleSize_slide2_IMC_tonsil_FOV1.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV1,Stanford_Tonsil_2
dataScaleSize_slide3_IMC_tonsil_FOV1.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV1,Stanford_Tonsil_3
dataScaleSize_slide24_IMC_tonsil_FOV1.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV1,Stanford_Tonsil_24
dataScaleSize_slide1_IMC_tonsil_FOV2.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV2,Stanford_Tonsil_1
dataScaleSize_slide2_IMC_tonsil_FOV2.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV2,Stanford_Tonsil_3
dataScaleSize_slide3_IMC_tonsil_FOV2.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV2,Stanford_Tonsil_3
dataScaleSize_slide24_IMC_tonsil_FOV2.csv,Stanford_IMC_Tonsil,dataScaleSize,FOV2,Stanford_Tonsil_24
dataScaleSize_slide1_IMC_OSCC_FOV1.csv,Stanford_IMC_OSCC,dataScaleSize,FOV1,Stanford_OSCC_1
dataScaleSize_slide1_IMC_OSCC_FOV2.csv,Stanford_IMC_OSCC,dataScaleSize,FOV2,Stanford_OSCC_1
dataScaleSize_slide2_IMC_OSCC_FOV1.csv,Stanford_IMC_OSCC,dataScaleSize,FOV1,Stanford_OSCC_2
dataScaleSize_slide2_IMC_OSCC_FOV2.csv,Stanford_IMC_OSCC,dataScaleSize,FOV2,Stanford_OSCC_2
dataScaleSize_slide3_IMC_OSCC_FOV1.csv,Stanford_IMC_OSCC,dataScaleSize,FOV1,Stanford_OSCC_3
dataScaleSize_slide3_IMC_OSCC_FOV2.csv,Stanford_IMC_OSCC,dataScaleSize,FOV2,Stanford_OSCC_3
dataScaleSize_slide24_IMC_OSCC_FOV1.csv,Stanford_IMC_OSCC,dataScaleSize,FOV1,Stanford_OSCC_24
dataScaleSize_slide24_IMC_OSCC_FOV2.csv,Stanford_IMC_OSCC,dataScaleSize,FOV2,Stanford_OSCC_24
dataScaleSize_slide1_Roche_tonsil_FOV1.csv,Roche_Tonsil,dataScaleSize,FOV1,Roche_Tonsil_1
dataScaleSize_slide1_Roche_tonsil_FOV2.csv,Roche_Tonsil,dataScaleSize,FOV2,Roche_Tonsil_1
dataScaleSize_slide2_Roche_tonsil_FOV1.csv,Roche_Tonsil,dataScaleSize,FOV1,Roche_Tonsil_2
dataScaleSize_slide2_Roche_tonsil_FOV2.csv,Roche_Tonsil,dataScaleSize,FOV2,Roche_Tonsil_2
dataScaleSize_slide3_Roche_tonsil_FOV1.csv,Roche_Tonsil,dataScaleSize,FOV1,Roche_Tonsil_3
dataScaleSize_slide3_Roche_tonsil_FOV2.csv,Roche_Tonsil,dataScaleSize,FOV2,Roche_Tonsil_3
dataScaleSize_slide24_Roche_tonsil_FOV1.csv,Roche_Tonsil,dataScaleSize,FOV1,Roche_Tonsil_24
dataScaleSize_slide24_Roche_tonsil_FOV2.csv,Roche_Tonsil,dataScaleSize,FOV2,Roche_Tonsil_24
dataScaleSize_slide1_Roche_intestine_FOV1.csv,Roche_intestine,dataScaleSize,FOV1,Roche_intestine_1
dataScaleSize_slide1_Roche_intestine_FOV2.csv,Roche_intestine,dataScaleSize,FOV2,Roche_intestine_1
dataScaleSize_slide2_Roche_intestine_FOV1.csv,Roche_intestine,dataScaleSize,FOV1,Roche_intestine_2
dataScaleSize_slide2_Roche_intestine_FOV2.csv,Roche_intestine,dataScaleSize,FOV2,Roche_intestine_2
dataScaleSize_slide3_Roche_intestine_FOV1.csv,Roche_intestine,dataScaleSize,FOV1,Roche_intestine_3
dataScaleSize_slide3_Roche_intestine_FOV2.csv,Roche_intestine,dataScaleSize,FOV2,Roche_intestine_3
dataScaleSize_slide24_Roche_intestine_FOV1.csv,Roche_intestine,dataScaleSize,FOV1,Roche_intestine_24
