"Source","Compare1","Compare2"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_1","BIDMC_LymphNode_4"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_2","BIDMC_LymphNode_3"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_2","BIDMC_LymphNode_4"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_3","BIDMC_LymphNode_4"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_10min","Roche_Tonsil_Tris_20min"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_10min","Roche_Tonsil_Tris_40min"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_20min","Roche_Tonsil_Tris_40min"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_20min","Roche_Tonsil_Citra_20min"
"B1_Roche_Tonsil","Roche_Tonsil_Tris_40min","Roche_Tonsil_Citra_20min"
"B1_Roche_Intestine","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min"
"B1_Roche_Intestine","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_40min"
"B1_Roche_Intestine","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min"
"B1_Roche_Intestine","Roche_Intestine_Tris_20min","Roche_Intestine_Tris_40min"
"B1_Roche_Intestine","Roche_Intestine_Tris_20min","Roche_Intestine_Citra_20min"
"B1_Roche_Intestine","Roche_Intestine_Tris_40min","Roche_Intestine_Citra_20min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_10min","UK_Tonsil_Tris_20min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_10min","UK_Tonsil_Tris_40min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_10min","UK_Tonsil_Citra_20min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min"
"B1_UKentucky_Tonsil","UK_Tonsil_Tris_40min","UK_Tonsil_Citra_20min"
"B1_UKentucky_Skin","UK_Skin_Tris_10min","UK_Skin_Tris_20min"
"B1_UKentucky_Skin","UK_Skin_Tris_10min","UK_Skin_Tris_40min"
"B1_UKentucky_Skin","UK_Skin_Tris_10min","UK_Skin_Citra_20min"
"B1_UKentucky_Skin","UK_Skin_Tris_20min","UK_Skin_Tris_40min"
"B1_UKentucky_Skin","UK_Skin_Tris_20min","UK_Skin_Citra_20min"
"B1_UKentucky_Skin","UK_Skin_Tris_40min","UK_Skin_Citra_20min"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide4","Stanford_MIBI_Slide3"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide4","Stanford_MIBI_Slide5"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide3","Stanford_MIBI_Slide2"
"B2_Stanford_MIBI_LymphNode_pooled","Stanford_MIBI_Slide5","Stanford_MIBI_Slide2"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_10min","Stanford_MIBI_Colon_Tris_20min"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_10min","Stanford_MIBI_Colon_Tris_40min"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_10min","Stanford_MIBI_Colon_Citra_20min"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_20min","Stanford_MIBI_Colon_Tris_40min"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_20min","Stanford_MIBI_Colon_Citra_20min"
"B2_Stanford_MIBI_Colon","Stanford_MIBI_Colon_Tris_40min","Stanford_MIBI_Colon_Citra_20min"
"B2_Stanford_MIBI_Liver","Stanford_MIBI_Liver_Tris_10min","Stanford_MIBI_Liver_Tris_20min"
"B2_Stanford_MIBI_Liver","Stanford_MIBI_Liver_Tris_10min","Stanford_MIBI_Liver_Tris_40min"
"B2_Stanford_MIBI_Liver","Stanford_MIBI_Liver_Tris_10min","Stanford_MIBI_Liver_Citra_20min"
"B2_Stanford_MIBI_Liver","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_40min"
"B2_Stanford_MIBI_Liver","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min"
