"Source","Compare1","Compare2"
"BIDMC","BIDMC_21","BIDMC_7"
"BIDMC","BIDMC_21","BIDMC_8"
"BIDMC","BIDMC_21","BIDMC_9"
"BIDMC","BIDMC_22","BIDMC_23"
"BIDMC","BIDMC_22","BIDMC_24"
"BIDMC","BIDMC_22","BIDMC_2"
"BIDMC","BIDMC_22","BIDMC_3"
"BIDMC","BIDMC_22","BIDMC_4"
"BIDMC","BIDMC_22","BIDMC_5"
"BIDMC","BIDMC_22","BIDMC_6"
"BIDMC","BIDMC_22","BIDMC_7"
"BIDMC","BIDMC_22","BIDMC_8"
"BIDMC","BIDMC_22","BIDMC_9"
"BIDMC","BIDMC_23","BIDMC_24"
"BIDMC","BIDMC_23","BIDMC_2"
"BIDMC","BIDMC_23","BIDMC_3"
"BIDMC","BIDMC_23","BIDMC_4"
"BIDMC","BIDMC_23","BIDMC_5"
"BIDMC","BIDMC_23","BIDMC_6"
"BIDMC","BIDMC_23","BIDMC_7"
"BIDMC","BIDMC_23","BIDMC_8"
"BIDMC","BIDMC_23","BIDMC_9"
"BIDMC","BIDMC_24","BIDMC_2"
"BIDMC","BIDMC_24","BIDMC_3"
"BIDMC","BIDMC_24","BIDMC_4"
"BIDMC","BIDMC_24","BIDMC_5"
"BIDMC","BIDMC_24","BIDMC_6"
"BIDMC","BIDMC_24","BIDMC_7"
"BIDMC","BIDMC_24","BIDMC_8"
"BIDMC","BIDMC_24","BIDMC_9"
"BIDMC","BIDMC_2","BIDMC_3"
"BIDMC","BIDMC_2","BIDMC_4"
"BIDMC","BIDMC_2","BIDMC_5"
"BIDMC","BIDMC_2","BIDMC_6"
"BIDMC","BIDMC_2","BIDMC_7"
"BIDMC","BIDMC_2","BIDMC_8"
"BIDMC","BIDMC_2","BIDMC_9"
"BIDMC","BIDMC_3","BIDMC_4"
"BIDMC","BIDMC_3","BIDMC_5"
"BIDMC","BIDMC_3","BIDMC_6"
"BIDMC","BIDMC_3","BIDMC_7"
"BIDMC","BIDMC_3","BIDMC_8"
"BIDMC","BIDMC_3","BIDMC_9"
"BIDMC","BIDMC_4","BIDMC_5"
"BIDMC","BIDMC_4","BIDMC_6"
"BIDMC","BIDMC_4","BIDMC_7"
"BIDMC","BIDMC_4","BIDMC_8"
"BIDMC","BIDMC_4","BIDMC_9"
"BIDMC","BIDMC_5","BIDMC_6"
"BIDMC","BIDMC_5","BIDMC_7"
"BIDMC","BIDMC_5","BIDMC_8"
"BIDMC","BIDMC_5","BIDMC_9"
"BIDMC","BIDMC_6","BIDMC_7"
"BIDMC","BIDMC_6","BIDMC_8"
"BIDMC","BIDMC_6","BIDMC_9"
"BIDMC","BIDMC_7","BIDMC_8"
"BIDMC","BIDMC_7","BIDMC_9"
"BIDMC","BIDMC_8","BIDMC_9"
"Stanford","Stanford_13","Stanford_14"
"Stanford","Stanford_13","Stanford_15"
"Stanford","Stanford_13","Stanford_16"
"Stanford","Stanford_13","Stanford_21"
"Stanford","Stanford_13","Stanford_22"
"Stanford","Stanford_13","Stanford_23"
"Stanford","Stanford_13","Stanford_24"
"Stanford","Stanford_13","Stanford_5"
"Stanford","Stanford_13","Stanford_6"
"Stanford","Stanford_13","Stanford_7"
"Stanford","Stanford_13","Stanford_8"
"Stanford","Stanford_14","Stanford_15"
"Stanford","Stanford_14","Stanford_16"
"Stanford","Stanford_14","Stanford_21"
"Stanford","Stanford_14","Stanford_22"
"Stanford","Stanford_14","Stanford_23"
"Stanford","Stanford_14","Stanford_24"
"Stanford","Stanford_14","Stanford_5"
"Stanford","Stanford_14","Stanford_6"
"Stanford","Stanford_14","Stanford_7"
"Stanford","Stanford_14","Stanford_8"
"Stanford","Stanford_15","Stanford_16"
"Stanford","Stanford_15","Stanford_21"
"Stanford","Stanford_15","Stanford_22"
"Stanford","Stanford_15","Stanford_23"
"Stanford","Stanford_15","Stanford_24"
"Stanford","Stanford_15","Stanford_5"
"Stanford","Stanford_15","Stanford_6"
"Stanford","Stanford_15","Stanford_7"
"Stanford","Stanford_15","Stanford_8"
"Stanford","Stanford_16","Stanford_21"
"Stanford","Stanford_16","Stanford_22"
"Stanford","Stanford_16","Stanford_23"
"Stanford","Stanford_16","Stanford_24"
"Stanford","Stanford_16","Stanford_5"
"Stanford","Stanford_16","Stanford_6"
"Stanford","Stanford_16","Stanford_7"
"Stanford","Stanford_16","Stanford_8"
"Stanford","Stanford_21","Stanford_22"
"Stanford","Stanford_21","Stanford_23"
"Stanford","Stanford_21","Stanford_24"
"Stanford","Stanford_21","Stanford_5"
"Stanford","Stanford_21","Stanford_6"
"Stanford","Stanford_21","Stanford_7"
"Stanford","Stanford_21","Stanford_8"
"Stanford","Stanford_22","Stanford_23"
"Stanford","Stanford_22","Stanford_24"
"Stanford","Stanford_22","Stanford_5"
"Stanford","Stanford_22","Stanford_6"
"Stanford","Stanford_22","Stanford_7"
"Stanford","Stanford_22","Stanford_8"
"Stanford","Stanford_23","Stanford_24"
"Stanford","Stanford_23","Stanford_5"
"Stanford","Stanford_23","Stanford_6"
"Stanford","Stanford_23","Stanford_7"
"Stanford","Stanford_23","Stanford_8"
"Stanford","Stanford_24","Stanford_5"
"Stanford","Stanford_24","Stanford_6"
"Stanford","Stanford_24","Stanford_7"
"Stanford","Stanford_24","Stanford_8"
"Stanford","Stanford_5","Stanford_6"
"Stanford","Stanford_5","Stanford_7"
"Stanford","Stanford_5","Stanford_8"
"Stanford","Stanford_6","Stanford_7"
"Stanford","Stanford_6","Stanford_8"
"Stanford","Stanford_7","Stanford_8"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-14"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-15"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-16"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-21"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-22"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-13","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-15"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-16"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-21"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-22"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-14","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-16"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-21"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-22"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-7"
